央视,#genre#
CCTV1,http://116.237.61.115:4022/rtp/233.18.204.168:5140
CCTV1,http://116.237.61.115:4022/rtp/233.18.204.52:5140
CCTV1,http://116.237.61.115:4022/rtp/233.18.204.20:5140
CCTV1,http://106.80.125.176:7788/rtp/235.254.199.51:7980
CCTV1,http://106.80.125.176:7788/rtp/235.254.197.250:7980
CCTV1,http://106.80.125.176:7788/rtp/235.254.199.147:7980
CCTV1,http://106.80.125.176:7788/rtp/235.254.199.92:7980
CCTV1,http://106.80.125.176:7788/rtp/235.254.199.79:7980
CCTV1,http://106.80.125.176:7788/rtp/235.254.197.1:7980
CCTV1,http://106.80.125.176:7788/rtp/235.254.199.1:7980
CCTV1,http://182.138.203.158:8188/rtp/239.94.0.1:5140
CCTV1,http://182.138.203.158:8188/rtp/239.94.2.34:5140
CCTV1,http://182.138.203.158:8188/rtp/239.94.1.18:5140
CCTV1,http://182.138.203.158:8188/rtp/239.94.1.151:5140
CCTV1,http://182.138.203.158:8188/rtp/239.94.0.31:5140
CCTV1,http://182.138.203.158:8188/rtp/239.94.2.69:5140
CCTV1,http://182.138.203.158:8188/rtp/239.94.2.128:5140
CCTV1,http://182.138.203.158:8188/rtp/239.94.2.73:5140
CCTV1,http://182.138.203.158:8188/rtp/239.94.2.146:5140
CCTV1,http://36.24.65.177:8888/rtp/233.50.201.222:5140
CCTV1,http://36.24.65.177:8888/rtp/233.50.201.118:5140
CCTV1,http://36.24.65.177:8888/rtp/233.50.200.99:5140
CCTV1,http://36.24.65.177:8888/rtp/233.50.200.130:5140
CCTV1,http://36.24.65.177:8888/rtp/233.50.200.143:5140
CCTV1,http://36.24.65.177:8888/rtp/233.50.200.247:5140
CCTV1,http://114.243.168.34:8888/rtp/239.3.1.129:8008
CCTV1,http://14.145.179.245:8888/rtp/239.77.0.14:5146
CCTV1,http://14.145.179.245:8888/rtp/239.77.0.30:5146
CCTV1,http://14.145.179.245:8888/rtp/239.77.0.86:5146
CCTV1,http://14.145.179.245:8888/rtp/239.77.0.119:5146
CCTV1,http://14.145.179.245:8888/rtp/239.77.1.17:5146
CCTV1,http://14.145.179.245:8888/rtp/239.77.1.144:5146
CCTV1,http://14.145.179.245:8888/rtp/239.77.0.129:5146
CCTV1,http://113.95.132.166:30001/rtp/239.77.0.14:5146
CCTV1,http://113.95.132.166:30001/rtp/239.77.0.30:5146
CCTV1,http://113.95.132.166:30001/rtp/239.77.0.86:5146
CCTV1,http://113.95.132.166:30001/rtp/239.77.0.119:5146
CCTV1,http://113.95.132.166:30001/rtp/239.77.1.17:5146
CCTV1,http://113.95.132.166:30001/rtp/239.77.1.144:5146
CCTV1,http://113.95.132.166:30001/rtp/239.77.0.129:5146
CCTV1,http://116.233.67.80:8899/rtp/233.18.204.168:5140
CCTV1,http://116.233.67.80:8899/rtp/233.18.204.52:5140
CCTV1,http://116.233.67.80:8899/rtp/233.18.204.20:5140
CCTV1,http://113.95.132.166:554/rtp/239.77.0.14:5146
CCTV1,http://113.95.132.166:554/rtp/239.77.0.30:5146
CCTV1,http://113.95.132.166:554/rtp/239.77.0.86:5146
